,title,text,word,link
0,"박선미 작가 개인전 개최... `Me, Myself, and The Bird 2022`","['이번 개인전을 통해 박선미 작가는 ""다소 무거울 수 있는 인문학적, 철학적 사유와 지식을 이해하기 쉬운 시각정 언어로 풀어내어 누구나 공감할 수 있는 작품으로 소통하고자 한다""며 ""이번 연말에 펼쳐지는 따뜻하고 지적인 감성의 전시를 통해 서로 다른 생각과 의견을 향한 이해, 존중, 포용의 가피를 되짚어보는 시간을 갖길 바란다""고 전했다', '', ' 그림 속 앵무새는 작가가 책과 삶에서 발견한 인상깊은 스토리와 감동을 전하는 메신저 같은 존재라 할 수 있다']","[['작가', 289], ['작품', 250], ['앵무새', 217], ['박선미', 142], ['지능', 139], ['존재', 132], ['표현', 129], ['통하', 119], ['그림', 108], ['자신', 105], ['의견', 103], ['가지', 103], ['앵무새', 97], ['다양', 93], ['전하', 92], ['대상', 84], ['개인전', 83], ['완성', 83], ['신념', 82], ['대하', 81], ['등장', 76], ['향하', 75], ['감성', 73]]",https://news.google.com/articles/CBMiQmh0dHBzOi8vbS53b3d0di5jby5rci9OZXdzQ2VudGVyL05ld3MvUmVhZD9hcnRpY2xlSWQ9QTIwMjExMjA2MDI2NdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
1,"인공지능, 앵무새 등 국제적 멸종위기종 판별","['\n\n저작권자 © 교통뉴스 무단전재 및 재배포 금지', '국립생물자원관, AI 생물 종 판별 인력양성\n\n외형유사 아마존앵무27종 딥러닝 객체인식\n\n국제적 멸종 위기종 신속·정확한 판별 기대\n\n환경부 소속 국립생물자원관은 지난 5월부터 추진하고 있는 ‘인공지능(AI)기반 생물자원 활용 전문인력 양성’ 사업을 통해 숙련된 자원을 국제적 멸종위기종을 판별하는 인공지능 기술활용에 투입할 계획이라고 밝혔다', '\n\n2021년∼2025년 사업은 한국판 뉴딜 종합계획의 디지털 그린 인재 양성국가 생물 종 보전 사각지대 해소와 생물 유래 환경문제 해결 등 녹색융합기술을 선도할 전문인력 양성을 목적으로 하고 있기 때문에 연구진은 먼저 환경부에서 관리하는 국제적 멸종위기종 중에 하나인 앵무새를 신속, 정확하게 판별할 수 있도록 인공지능 기술을 적용했다']","[['판별', 314], ['기술', 263], ['멸종', 244], ['아마존', 226], ['국제', 223], ['객체', 220], ['앵무새', 197], ['위기', 186], ['종의', 168], ['생물', 160], ['인공지능', 157], ['양성', 151], ['기반', 150], ['활용', 144], ['사진', 144], ['관리', 120], ['사업', 119], ['거래', 115], ['인력', 105], ['대상', 105], ['정확', 104], ['학습', 103], ['모델', 102], ['수집', 99]]",https://news.google.com/articles/CBMiO2h0dHA6Ly93d3cuY2FydHZuZXdzLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NjEwOTQy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
2,[책CHECK] 앵무새는 귀가 필요해,"[' 1만1천원', "" 2011년 대교눈높이아동문학대전 동시 부문에 '열두 시' 등을 출품해 수상한 바 있다"", "" 표제작 '앵무새는 귀가 필요해'를 포함해 55편의 동시를 실었다""]","[['윤희순', 126], ['펴내', 119], ['필요', 114], ['동시집', 113], ['시어', 100], ['그리', 100], ['브로콜리', 99], ['앵무새', 93], ['동시', 56]]",https://news.google.com/articles/CBMiNWh0dHBzOi8vbmV3cy5pbWFlaWwuY29tL3BhZ2Uvdmlldy8yMDIxMTEyNjEyMDAwNTc2MDk30gEA?hl=ko&gl=KR&ceid=KR%3Ako
3,뉴시스,"['com', ""앞서 여운국 공수처 차장검사는 지난 2일 손준성 대구고검 인권보호관(전 대검찰청 수사정보정책관) 구속 전 피의자심문(영장실질심사)에 출석해 '공수처는 아마추어' '대장동 사건은 경제범죄지만, 고발사주는 국기문란' 등 취지의 발언을 한 것으로 알려졌다"", '최지현 국민의힘 중앙선거대책위원회 수석부대변인은 이날 논평을 통해 ""공수처는 고발사주 프레임이 먹히지 않자 심지어 이번에는 판사 사찰 의혹으로 수사 방향을 돌렸는데, 전형적인 먼지떨이식 표적 수사""라고 공수처를 비판했다']","[['공수', 308], ['수사', 212], ['수사', 146], ['차장', 143], ['수석', 141], ['이날', 113], ['야당', 112], ['사주', 106], ['후보', 103], ['고발', 97], ['윤석열', 89], ['표적', 87], ['통하', 87], ['아마추어', 87], ['의혹', 80], ['권력', 80], ['대변인', 80], ['부대변인', 77], ['민주당', 77], ['논평', 77], ['여운', 77]]",https://news.google.com/articles/CAIiEG-HdyTKQp9mk2mIM1r7qZQqGQgEKhAIACoHCAowl7jyCjCTjNECMJqFpAM?uo=CAUiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIxMTIwNl8wMDAxNjc3MTQ10gEA&hl=ko&gl=KR&ceid=KR%3Ako
4,"연료 소매 터미널 시장의 성장에 의해 분석 DJI,앵무새,3D 로봇 공학 – Gold Kids","['\n\nRequest a Sample Get Discount Buy Now\n\n글로벌 연료 소매 터미널 시장 보고서를 구매하는 주요 이유 :\n\n시장 구조를 설명하는 새로운 접근 방식 및 최신 개발 동향\n\n고급 시장 분석 구조\n\n과거 데이터 및 미래 시장 범위\n\n통계, 성장 촉진제 및 시장 개발을 기반으로 한 심층 시장 분석\n\n비 유적, 수치 적, 이론적 정교화를 통한 통계 데이터 표현\n\n이 보고서는 비즈니스 및 영업 활동에 대한 통찰력을 제공합니다', ' 이 보고서는 최근의 범위, 기업보다 앞선 과제 및 향후 몇 년 동안 전 세계 연료 소매 터미널 시장 부문을 확대 할 수있는 글로벌 기회에 대한 아이디어를 종합했습니다', '\n\n이 보고서에는 연료 소매 터미널 시장에서 전체 시장 점유율의 대부분을 차지하는 글로벌 시장에서 활동하는 모든 주요 기업이 포함되었습니다']","[['시장', 852], ['터미널', 395], ['보고서', 394], ['연료', 389], ['소매', 357], ['주요', 347], ['대하', 247], ['분석', 241], ['지역', 222], ['글로벌', 200], ['성장', 152], ['유형', 152], ['연구', 144], ['포함', 132], ['비즈니스', 132], ['중요', 130], ['제공', 128], ['업체', 122], ['개발', 107], ['범위', 107], ['요구', 95], ['가지', 95], ['회사', 94], ['고객', 93], ['표시', 91], ['데이터', 89]]",https://news.google.com/articles/CBMi_QFodHRwczovL3d3dy5nb2xkLWtpZHMuY29tLyVFQyU4QiVBQyVFQiVBNiVBQyVFRCU5NSU5OS8yNDgyNS8lRUMlOTclQjAlRUIlQTMlOEMtJUVDJTg2JThDJUVCJUE3JUE0LSVFRCU4NCVCMCVFQiVBRiVCOCVFQiU4NCU5MC0lRUMlOEIlOUMlRUMlOUUlQTUlRUMlOUQlOTgtJUVDJTg0JUIxJUVDJTlFJUE1JUVDJTk3JTkwLSVFQyU5RCU5OCVFRCU5NSVCNC0lRUIlQjYlODQlRUMlODQlOUQtZGppJUVDJTk1JUI1JUVCJUFDJUI0JUVDJTgzJTg4M2Qv0gEA?hl=ko&gl=KR&ceid=KR%3Ako
5,쓰레기통을 연 시드니의 앵무새들 – Sciencetimes,"[' 2018년에는 시드니의 북쪽 지역에서 쓰레기통을 여는 새로운 행동이 독립적으로 관찰되기 시작하기도 했는데, 이후 마찬가지로 주변 지역으로 배움을 통해 행동이 전파되는 것을 관찰할 수 있었다고도 덧붙였다', ' 연구진에 따르면, 호주의 시드니에 서식하는 이 새들 사이에서 뚜껑이 덮인 커다란 쓰레기통의 뚜껑을 열어 안을 뒤지는 것이 관찰되었고, 이 같은 행동이 집단 내에서 서서히 번져가고 있다', '\n\n(741)']","[['행동', 354], ['관찰', 240], ['쓰레기통', 216], ['지역', 215], ['현상', 208], ['도시', 186], ['배우', 181], ['동물', 168], ['문화', 158], ['통하', 148], ['전파', 147], ['시드니', 136], ['연구진', 129], ['사회적 지위', 127], ['앵무새', 122], ['성공', 119], ['사회', 106], ['보이', 100], ['호주', 99], ['집단', 97], ['무겁', 96]]",https://news.google.com/articles/CBMipgFodHRwczovL3d3dy5zY2llbmNldGltZXMuY28ua3IvbmV3cy8lRUMlOTMlQjAlRUIlQTAlODglRUElQjglQjAlRUQlODYlQjUlRUMlOUQlODQtJUVDJTk3JUIwLSVFQyU4QiU5QyVFQiU5MyU5QyVFQiU4QiU4OCVFQyU5RCU5OC0lRUMlOTUlQjUlRUIlQUMlQjQlRUMlODMlODglRUIlOTMlQTQv0gEA?hl=ko&gl=KR&ceid=KR%3Ako
6,나뭇가지 3개로 열대과일 파먹는 앵무새…“침팬지 수준 창의력”,"['[애니멀피플]\n\n유황앵무, 용도 맞춰 만든 나뭇가지 도구 능숙하게 사용\n\n인도네시아의 흰이마유황앵무는 나뭇가지를 용도에 맞게 잘라 열대과일 내용물을 파먹는 데 쓴다', '\n\n열대과일을 발로 움켜쥐고 틈을 벌릴 쐐기로 쓸 나뭇가지를 잘라내는 흰이마유황앵무', '\n\n마크 오하라 오스트리아 빈 대학 동물학자 등 국제 연구진은 인도네시아 타님바르섬에서 이곳 고유종인 흰이마유황앵무를 연구하다 이런 사실을 발견했다고 1일 과학저널 ‘커런트 바이올로지’에 실린 논문에서 밝혔다']","[['나뭇가지', 346], ['사용', 251], ['도구', 249], ['도구', 193], ['과일', 178], ['열대', 177], ['동물', 148], ['자르', 136], ['오하라', 134], ['내용물', 133], ['유황', 133], ['밝히', 129], ['바이', 120], ['이마', 117], ['중간', 112], ['용도', 105], ['연구자', 99]]",https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hbmltYWxwZW9wbGUvZWNvbG9neV9ldm9sdXRpb24vMTAxMDAwNS5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
7,은서와 로저 : 칼럼 : 사설.칼럼 : 뉴스,"['’', ' 둘은 그저 ‘모든 것들이 살아 있는 시간이자 장소’에서 경외감을 느끼며 ‘즐거움에 겨워 크게 웃었다’고 한다', ' 아이의 시간을 점령하고, 결코 주조해낼 수 없는, 길들여지지 않는, 장엄하고 기적적인 자연의 냄새와 소리가 있는 장소를 앗아간 우리에게 카슨은 부탁한다']","[['호랑이', 172], ['아이', 145], ['앵무새', 140], ['인간', 132], ['만들', 120], ['소리', 109], ['자연', 106], ['로저', 100], ['그렇', 94], ['즐거움', 91], ['여름', 90], ['뒷북', 90], ['애쓰', 90], ['살아가', 85], ['시간', 84], ['세상', 81]]",https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9vcGluaW9uL2NvbHVtbi8xMDIwMTc0Lmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
8,與 “檢 수사 칼끝 김건희·최은순 향할지 주목”···野 “공수처는 사회적 흉기”,"['박찬대 더불어민주당 선대위 수석대변인(왼쪽), 이양수 국민의힘 선대위 수석대변인 /경향신문 자료사진\n\n더불어민주당은 4일 윤석열 국민의힘 대선 후보의 부인 김건희씨가 연루된 도이치모터스 주가조작 의혹 사건과 관련해 “검찰 수사의 칼끝이 과연 김건희씨와 윤 후보의 장모 최은순씨를 향하게 될 것인지 주목하고 있다”고 밝혔다', '\n\n', '\n\n\n\n이 수석대변인은 “그럼에도 공수처가 공소장을 ‘공무상 비밀’이라고 우기면서 검찰을 불법 압수수색한 것은 공개된 판사 관련 자료의 수집도 억지로 범죄로 엮어 보려는 것”이라며 “검찰에서 이미 혐의없음 처분된 사건을 공수처가 이 시기에 재수사한다는 것 자체가 ‘선거개입’”이라고 했다']","[['수사', 292], ['대변인', 255], ['의혹', 235], ['검찰', 215], ['수석', 202], ['주가조작', 170], ['공수', 163], ['후보', 160], ['국민', 145], ['검사', 133], ['선대위', 102], ['혐의', 100], ['판사', 100], ['사찰', 98], ['김건희', 93], ['관련', 90], ['자료', 87], ['사건', 84], ['도이치', 82], ['시장', 77], ['수사', 77]]",https://news.google.com/articles/CBMiPmh0dHBzOi8vbS5raGFuLmNvLmtyL3BvbGl0aWNzL2Fzc2VtYmx5L2FydGljbGUvMjAyMTEyMDQxNDQzMDAx0gFCaHR0cHM6Ly9tLmtoYW4uY28ua3IvcG9saXRpY3MvYXNzZW1ibHkvYXJ0aWNsZS8yMDIxMTIwNDE0NDMwMDEvYW1w?hl=ko&gl=KR&ceid=KR%3Ako
9,[과학 이야기] 남미 앵무새는 청양고추를 미친 듯이 좋아한다,"['\n\n앵무새에게는 매운 맛을 보여줘도 소용이 없다!\n\n저작권자 © 시니어매일 무단전재 및 재배포 금지', '\n\n앵무새가 청양고추를 먹고 있다', '\n\n※왜 앵무새가 청양고추를 잘 먹는 것일까?\n\n앵무새도 역시 인간과 똑같이 맛을 느낄 수 있다']","[['청양고추', 456], ['앵무새', 440], ['느끼', 175], ['캡처', 149], ['냄새', 120], ['향하', 115], ['고릴라', 99], ['풍산개', 95], ['인간', 88], ['고추', 86], ['약하', 85], ['일대', 85], ['사람', 84], ['KBS2', 83], ['고추', 83], ['발가락', 82], ['좋아하', 81], ['대하', 80], ['도리', 79], ['일본원숭이', 79], ['서식지', 75], ' ']",https://news.google.com/articles/CBMiPGh0dHA6Ly93d3cuc2VuaW9ybWFlaWwuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zMDA4NtIBAA?hl=ko&gl=KR&ceid=KR%3Ako
